disciplinecode,coursecode,name,syllabus,workload,creditcount
MED301,MED,Patologia,Estudo de doenças,90,6
MED401,MED,Farmacologia,Drogas e interações,75,5
MED501,MED,Bioética,Dilemas médicos,45,3
MED601,MED,Pediatria,Saúde da criança,90,6
MED701,MED,Ginecologia,Saúde da mulher,90,6
MED801,MED,Cardiologia,Sistema circulatório,90,6
MED901,MED,Neurologia,Sistema nervoso,90,6
MED999,MED,Psiquiatria,Saúde mental,90,6
ARQ101,ARQ,Desenho Técnico,Perspectiva e escala,60,4
ARQ201,ARQ,História da Arte,Movimentos artísticos,60,4
ARQ301,ARQ,Urbanismo I,Planejamento urbano,90,6
ARQ401,ARQ,Estruturas de Aço,Cálculo estrutural,75,5
ARQ501,ARQ,Conforto Térmico,Ventilação e isolamento,60,4
ARQ601,ARQ,Paisagismo,Espaços verdes,60,4
ARQ701,ARQ,Sustentabilidade,Materiais ecológicos,60,4
ARQ801,ARQ,Projetos Residenciais,Planta e corte,90,6
ARQ901,ARQ,Revitalização Humana,Patrimônio histórico,75,5
ARQ999,ARQ,Iluminação,Luz natural e artificial,60,4
BIO101,BIO,Genética,Hereditariedade,75,5
BIO201,BIO,Botânica,Reino vegetal,60,4
BIO301,BIO,Zoologia,Reino animal,60,4
BIO401,BIO,Ecologia,Ecossistemas,60,4
BIO501,BIO,Microbiologia,Bactérias e vírus,75,5
BIO601,BIO,Biologia Marinha,Vida nos oceanos,60,4
BIO701,BIO,Bioquímica,Processos químicos,75,5
BIO801,BIO,Evolução,Teoria Darwinista,60,4
BIO901,BIO,Imunologia,Sistema de defesa,60,4
BIO999,BIO,Paleontologia,Fósseis e evolução,60,4
MAT101,MAT,Cálculo Avançado,Múltiplas variáveis,90,6
MAT201,MAT,Geometria Analítica,Vetores e retas,75,5
MAT301,MAT,Teoria dos Números,Primos e divisibilidade,60,4
MAT401,MAT,Análise Real,Sequências e séries,75,5
MAT501,MAT,Equações Diferenciais,Modelos físicos,75,5
MAT601,MAT,Topologia,Espaços métricos,60,4
MAT701,MAT,Estatística Aplicada,Inferência e dados,75,5
MAT801,MAT,Álgebra Abstrata,Grupos e anéis,60,4
MAT901,MAT,Matemática Financeira,Juros e anuidades,60,4
MAT999,MAT,Criptografia Matemática,RSA e Curvas,60,4
PSI101,PSI,Psicologia Geral,Introdução e história,60,4
PSI201,PSI,Psicologia Social,Comportamento de grupos,60,4
PSI301,PSI,Psicanálise,Teoria Freudiana,75,5
PSI401,PSI,Psicopatologia,Distúrbios mentais,90,6
PSI501,PSI,Neuropsicologia,Cérebro e comportamento,75,5
PSI601,PSI,Psicologia do Desenvolvimento,Infância e velhice,60,4
PSI701,PSI,Testes Psicológicos,Avaliação e métodos,60,4
PSI801,PSI,Psicologia Organizacional,Trabalho e empresas,60,4
PSI901,PSI,Terapia Cognitiva,TCC e comportamento,60,4
PSI999,PSI,Fenomenologia,Existencialismo,45,3
